LITTLE BURGER,"butter pickles, gh sauce, american cheese",,4 each
CHICKEN PARM BURGER,arugula salad with shaved pecorino,,15
HOOK BURGER,"tomato, lettuce, toasted bun, kewpie mayonnaise, hand-cut fries, house-made pickles",,13
SHORT RIB BURGER,"drunk onions, muenster, toasted bun, aioli, fries",,16
AM BURGER,"applewood smoked bacon, fried egg, hollandaise, toasted buns, fries",,15
TACOS,"<strong>shrimp:</strong> slaw, onions, sriracha <br> <strong>chicken:</strong> tomatillo, cotija, pico de gallo, lettuce <br> <strong>veggie:</strong> carrots, sweet potato, avocado cream, queso fresco <br> <strong>beef:</strong> onions, pico de gallo, lettuce, cheddar <br> <strong>fish:</strong> slaw, avocado, cilantro, sriracha",,5 each
