Fish & Chips,"Beer-battered cod, tartar sauce, fries",,18
Steak Frites,"hangar steak, black garlic jus, fries",,23
Seared Salmon,"sticky rice, black eyed peas, baby bok choy, yellow pepper tamarind sauce",,19
Shepard's Pie,"Colorado lamb, peas, carrots, garlic mash",,21
Roasted Chicken,"garlic potatoes, creamed spinach, vermouth sauce",,19
Buttermilk Fried Chicken,"jalapeno mac and cheese, cheddar biscuit, buttermilk and thyme gravy",,17
Chef Vegetarian Plate,"mushroom basmati rice, tomato braised chickpeas, grilled naan, ginger spinach puree",,16
