HUEVOS RANCHEROS,"rice, beans, tomatillo sauce, avocado, sour cream, cotija cheese",,11
EGGS BENEDICT,"toasted english muffin, hollandaise, mixed green salad, (choice of ham or spinach)",,11
STEAK & EGGS,"8oz flat iron, two eggs any style, home fries",,17
THREE EGGS ANY STYLE,"choice of bacon or sausage, home fries, roasted tomato, toast",,10
FRENCH TOAST,"berries, whipped cream",,9
OMELETTE,ask for today's selection,,11
