ROASTED PORTABELLA,"Caramelized Onions, Cheddar, Toasted Ciabatta Roll, Garlic Aioli, Mixed Green Salad",,12
SHRIMP PO’ BOY,"Cornmeal-Crusted Shrimp, Tomato, Onion, Mayo, Hot Sauce, Ciabatta Roll, Fries",,15
FRENCH DIP SANDWICH,"Caramelized Onions, Smoked Gouda, Onion Rings",,14
FAT JOE,"Breaded Chicken, Bacon, Mayo, American Cheese",,13
BLT,Toasted Sour Dough And Fries,,12
EXTRA SIDE OF SAUCE,,,0.75
